Designator,Mid X,Mid Y,Rotation,Layer
BT1,133.4262,-72.6948,270.0,top
BT2,131.9022,-115.824,270.0,top
BT3,179.3494,-103.2002,0.0,top
BT4,179.1716,-128.1176,180.0,top
BT5,159.2072,-69.6468,270.0,top
C1,157.5098,-96.7894,180.0,bottom
C2,157.4898,-98.6594,180.0,bottom
C3,161.7131,-78.8604,0.0,bottom
C4,164.5498,-102.6294,180.0,bottom
D1,151.5364,-94.4372,0.0,top
D2,133.9596,-141.478,0.0,top
D3,143.1534,-141.4018,0.0,top
D4,139.4206,-50.419,0.0,top
D5,173.228,-60.4774,270.0,top
D6,183.9976,-61.8998,90.0,top
D7,151.3586,-95.0722,0.0,bottom
D8,151.3078,-99.8728,0.0,bottom
J1,145.3798,-99.7444,90.0,bottom
L1,161.7218,-111.6584,0.0,bottom
L2,161.6598,-107.3894,0.0,bottom
Q1,157.5331,-81.9404,180.0,bottom
Q2,161.7131,-81.7704,0.0,bottom
Q3,153.3031,-84.3104,180.0,bottom
Q4,168.2498,-100.0394,0.0,bottom
Q5,164.2898,-100.0394,180.0,bottom
Q6,172.0598,-99.3994,180.0,bottom
R1,148.8698,-109.4094,90.0,bottom
R10,158.7331,-85.2304,270.0,bottom
R11,160.9131,-85.1804,270.0,bottom
R12,153.1731,-87.0904,180.0,bottom
R13,172.0698,-101.6194,180.0,bottom
R14,168.1398,-96.6894,90.0,bottom
R15,171.8298,-97.0594,180.0,bottom
R16,171.8598,-95.4694,180.0,bottom
R17,169.5298,-96.2694,90.0,bottom
R18,164.7098,-97.5194,180.0,bottom
R2,148.8398,-111.3694,90.0,bottom
R3,151.4298,-109.5094,90.0,bottom
R4,151.4198,-111.3894,90.0,bottom
R5,161.671,-109.7026,180.0,bottom
R6,151.5872,-91.7194,180.0,bottom
R7,162.6231,-85.2104,270.0,bottom
R8,153.3831,-81.5804,0.0,bottom
R9,156.5431,-85.2004,90.0,bottom
U1,156.0798,-110.5694,0.0,bottom
