Designator,Mid X,Mid Y,Rotation,Layer
C1,176.3268,-104.648,0.0,top
C2,176.3776,-103.0224,0.0,top
C3,162.56,-99.5172,0.0,bottom
C4,162.5092,-101.2952,180.0,bottom
D7,174.0662,-111.2774,270.0,top
D8,169.4688,-111.243,270.0,top
J1,137.1528,-114.4316,270.0,top
L1,160.3755,-98.9076,180.0,top
L2,158.6738,-104.1908,180.0,top
Q1,156.1846,-105.5624,0.0,bottom
Q2,143.5608,-104.9782,0.0,bottom
Q3,158.877,-98.3234,0.0,bottom
Q4,148.209,-105.029,0.0,bottom
Q5,160.8582,-103.886,0.0,bottom
Q6,145.8976,-98.5266,180.0,bottom
R1,147.8449,-99.9744,270.0,top
R10,156.1338,-97.663,0.0,bottom
R11,162.56,-97.9678,0.0,bottom
R12,152.3492,-106.553,0.0,bottom
R13,145.8976,-100.9396,180.0,bottom
R14,157.1498,-101.346,90.0,bottom
R15,145.923,-96.139,180.0,bottom
R16,149.5806,-96.012,0.0,bottom
R17,149.5044,-97.6376,180.0,bottom
R18,149.9108,-99.2378,0.0,bottom
R2,147.8449,-98.0186,270.0,top
R3,147.8449,-102.0826,90.0,top
R4,147.8195,-104.0384,90.0,top
R5,162.052,-100.9142,90.0,top
R6,142.3416,-96.1644,0.0,bottom
R7,155.6258,-101.346,90.0,bottom
R8,158.9024,-96.1644,180.0,bottom
R9,154.0764,-101.3592,270.0,bottom
U1,152.6201,-100.7364,180.0,top
